id,event_category,landing_page,url_slug,seo_title,seo_description,event_emoji,hero_title,hero_video,hero_subtitle,hero_description,h1_title,h1_content,h1_image_naam,h1_image_alt,wat_is_title,wat_is_beschrijving,wat_is_image,wat_is_image_alt,rating_sportclubs,rating_scholen,rating_bedrijven,rating_non_profit,seo_content_1_title,seo_content_1_text,image_1,seo_content_2_title,seo_content_2_text,image_2,seo_content_3_title,seo_content_3_text,image_3,seo_content_4_title,seo_content_4_text,image_4,seo_content_5_title,seo_content_5_text,image_5,faq_1_vraag,faq_1_antwoord,faq_2_vraag,faq_2_antwoord,faq_3_vraag,faq_3_antwoord,faq_4_vraag,faq_4_antwoord,faq_5_vraag,faq_5_antwoord,gerelateerd_1_naam,gerelateerd_2_naam,gerelateerd_3_naam,sort_order
1,GAMING,FIFA Toernooi,fifa-toernooi-organiseren,FIFA Toernooi Organiseren | Complete Ontzorging | WePlayUnited,FIFA toernooi organiseren? WePlayUnited verzorgt complete organisatie met FIFA toernooi schema en begeleiding. Vraag vrijblijvend offerte aan!,🏆,FIFA toernooi organiseren,fifa_toernooi_hero.mp4,Verenig voetballiefhebbers en gamers voor een onvergetelijke ervaring,"Een FIFA toernooi is dé manier om voetballiefhebbers en gamers samen te brengen voor een onvergetelijke ervaring. Bij WePlayUnited nemen we de volledige organisatie uit handen, zodat jij kunt genieten van een professioneel en vlekkeloos evenement. Wij ontzorgen jou volledig, verbinden mensen via gaming en organiseren op iedere locatie in Nederland, België en Duitsland.",FIFA toernooi,"Een FIFA toernooi organiseren brengt voetballiefhebbers en gamers samen voor een unieke en leuke ervaring. Het spelen van FIFA is een van de grootste hobby's van jeugd en jongeren, waardoor veel leden van jouw voetbalclub een gezamenlijke interesse delen. WePlayUnited biedt complete ontzorging met professionele apparatuur, flexibele locaties en gepersonaliseerde pakketten. Door FIFA toernooien te organiseren breng je leden samen in het clubhuis en draag je bij aan het binden en behouden van (jeugd)leden.",https://drive.google.com/file/d/1Hd0k5FKYB9ckrbF4_-dA9HfGy0tw-Xew/view?usp=sharing,Voetbalclub organiseert FIFA toernooi met professionele gaming setup,Waarom een FIFA toernooi organiseren?,"Een FIFA toernooi is een interactieve gaming-ervaring waarbij teams tegen elkaar strijden in de populaire voetbalgame FIFA. Het spelen van FIFA is een van de grootste hobby's van jeugd en jongeren. Het grote voordeel: veel leden van jouw sportvereniging delen – naast voetballen op het veld – een gezamenlijke interesse. Vaak speel je FIFA thuis in je eentje, maar daar brengen wij verandering in. Door FIFA toernooien te organiseren brengen we leden juist samen in het clubhuis. FIFA toernooien zijn geschikt voor voetbalclubs die hun leden willen binden en behouden door middel van een sportieve en interactieve activiteit.",https://drive.google.com/file/d/1Dc6xbeQomp1gB4peQyXx8hreBWOe5v9w/view?usp=sharing,FIFA toernooi in voetbalclub met deelnemers en groot scherm,95,88,92,90,Hoe werkt een FIFA toernooi bij WePlayUnited?,"FIFA toernooi organiseren wordt eenvoudig met WePlayUnited. Geen geklooi meer met Excel bestandjes. Wij zorgen voor een persoonlijke inschrijfomgeving waarin leden zich makkelijk kunnen aanmelden voor het FIFA toernooi. Daarbovenop krijg je van ons promotiemateriaal om het FIFA toernooi moeiteloos onder de aandacht te brengen. Nadat onze eventmanager de regels heeft uitgelegd, starten we met het FIFA toernooi. We verdelen de deelnemers in verschillende poules, zodat iedereen minimaal drie wedstrijden speelt. Het FIFA toernooi schema tonen we op een groot scherm, zodat de deelnemers op de hoogte blijven van de meest recente tussenstand. De beste spelers plaatsen zich voor de volgende ronde tijdens het FIFA toernooi, terwijl afvallers kunnen blijven gamen op vrijgekomen PlayStations. Tijdens het FIFA toernooi komen er verschillende PlayStations vrij waarop de afvallers kunnen gamen, zo blijft iedereen tot het einde betrokken. Onder luid gejuich mogen de finalisten van het FIFA toernooi beslissen wie zich de beste speler mag noemen. Deze titel geldt voor één jaar, want in het volgende seizoen willen we uiteraard weer een FIFA toernooi organiseren. Het FIFA toernooi schema zorgt ervoor dat alle deelnemers weten wanneer ze aan de beurt zijn en kunnen meekijken naar andere wedstrijden.",fifa_toernooi_schema_scherm.jpg,FIFA toernooi organiseren op elke locatie,"Met WePlay United kun je een FIFA toernooi organiseren op elke locatie in Nederland, België en Duitsland. Wat betekent dit voor jou bij het FIFA toernooi organiseren? Jij hoeft je alleen te focussen op het regelen van een geschikte ruimte, tafels, stoelen. Een clubhuis/kantine, gymzaal of evenementenlocatie voor je FIFA toernooi? Geen probleem. We organiseren FIFA toernooien zelfs buiten, mits onze gamecases overdekt zijn. Onze eventmanager bouwt alles op- en af en begeleidt het FIFA toernooi, zodat jij lekker met een drankje aan de bar kan staan. Jij wijst de stopcontacten aan, wij doen de rest bij het FIFA toernooi organiseren! Het FIFA toernooi organiseren wordt hierdoor flexibel en stressvrij voor jouw voetbalclub. Of je nu een FIFA toernooi wilt organiseren in een kleine ruimte of grote hal, wij passen ons aan. Het FIFA toernooi schema past zich automatisch aan de beschikbare ruimte en tijd aan. Dankzij onze ervaring met FIFA toernooien op verschillende locaties weten we precies hoe we jouw ruimte optimaal kunnen benutten voor het FIFA toernooi.",fifa_toernooi_locatie_opbouw.jpg,Onze FIFA toernooien: pakketten en prijzen,"Bij het FIFA toernooi organiseren krijg je altijd professionele apparatuur, complete begeleiding en een FIFA toernooi schema van WePlayUnited. FIFA toernooi standaard: We spelen een FIFA toernooi in 2,5 uur waarbij 10-40 deelnemers mee kunnen doen. Dit FIFA toernooi wordt op-/afgebouwd en begeleid door 1 eventmanager voor €599 excl. BTW. Het FIFA toernooi is ideaal voor kleinere voetbalverenigingen die een FIFA toernooi willen organiseren. FIFA toernooi uitgebreid: Dit FIFA toernooi past goed bij grotere voetbalverenigingen die een FIFA toernooi organiseren, omdat hier 10-80 deelnemers aan mee kunnen doen. We werken het FIFA toernooi schema af in maximaal 3,5 uur voor €799 excl. BTW. Omdat er meer deelnemers mee kunnen doen aan dit FIFA toernooi, begeleiden we het FIFA toernooi met 2 eventmanagers. Vrijspelen: Wil je een FIFA toernooi organiseren met collega's? Dit FIFA toernooi event is gericht op bedrijven. We spelen in 3 uur een FIFA toernooi, maar je kunt ook kiezen voor andere games zoals Trackmania en Fortnite. Om het FIFA toernooi evenement extra beleving te geven, bestickeren we de gamecases in jullie huisstijl voor €1099 excl. BTW. Alle FIFA toernooi pakketten bevatten 10x PS5 en 32"" full HD TV's, PR-kit, toernooisoftware en professionele begeleiding.",fifa_toernooi_pakketten_overzicht.jpg,Professionele begeleiding en spelbegeleiding,"Bij het FIFA toernooi organiseren krijg je professionele begeleiding van WePlayUnited. Onze eventmanager is uiterlijk 45 minuten van tevoren aanwezig op locatie voor je FIFA toernooi. Voor vertrek belt hij om de laatste details van het FIFA toernooi te bespreken. Dankzij onze gamecases toveren we jouw locatie binnen no time om tot een echte game arena voor het FIFA toernooi. Wij zorgen voor de complete op- en afbouw, voor de FIFA toernooi begeleiding en technische ondersteuning. Omdat we al meer dan 10 jaar FIFA toernooien organiseren, weten onze eventmanagers precies wanneer ze voor orde moeten zorgen tijdens het FIFA toernooi en wanneer ze een lolletje kunnen maken met de deelnemers. Op die manier zorgen we voor een soepel verloop van het FIFA toernooi én een onvergetelijke ervaring voor jouw leden. De professionele begeleiding bij FIFA toernooi organiseren betekent dat er altijd iemand aanwezig is om technische problemen op te lossen en het FIFA toernooi schema bij te houden. Onze ervaring met FIFA toernooien zorgt ervoor dat we anticiperen op mogelijke uitdagingen en het FIFA toernooi soepel laten verlopen.",fifa_toernooi_begeleiding_eventmanager.jpg,FIFA toernooi boeken bij WePlayUnited,"Al jarenlang is het een succesformule: het FIFA toernooi organiseren bij voetbalverenigingen. En dat is ook niet zo gek, aangezien deze FIFA toernooi activiteit anders is dan een normale training maar wel met voetbal te maken heeft. Hierdoor is FIFA toernooi organiseren een goed middel om (jeugd)leden te binden aan jouw vereniging. WePlayUnited zorgt voor een gestroomlijnde organisatie en ondersteuning tijdens het hele FIFA toernooi. Het FIFA toernooi boeken bij WePlayUnited betekent dat je kiest voor jarenlange ervaring en bewezen expertise in FIFA toernooien. We hebben al honderden FIFA toernooien georganiseerd voor voetbalclubs door heel Nederland, België en Duitsland. Ons FIFA toernooi schema systeem zorgt ervoor dat alles vlekkeloos verloopt en alle deelnemers weten wanneer ze aan de beurt zijn. Of je nu een klein FIFA toernooi wilt organiseren voor 10 deelnemers of een groot FIFA toernooi voor 80 deelnemers, wij hebben de ervaring en apparatuur. Vraag nu een vrijblijvend voorstel aan voor jouw FIFA toernooi, wij helpen je graag met het organiseren van een onvergetelijk FIFA toernooi voor jouw voetbalclub!",fifa_toernooi_boeken_contact.jpg,Wat is FIFA?,"FIFA toernooien zijn evenementen waar spelers worden uitgedaagd om tegen elkaar te spelen en te laten zien wie de beste FIFA-speler is. Het uitgebreid FIFA toernooi biedt plek voor maximaal 80 deelnemers, terwijl het standaard FIFA toernooi geschikt is voor maximaal 40 deelnemers.",Wat zijn FIFA-toernooien?,"FIFA toernooien zijn evenementen waar spelers worden uitgedaagd om tegen elkaar te spelen en te laten zien wie de beste FIFA-speler is. Het uitgebreid FIFA toernooi biedt plek voor maximaal 80 deelnemers, terwijl het standaard FIFA toernooi geschikt is voor maximaal 40 deelnemers.",Wat zijn de belangrijke stappen bij het FIFA toernooi organiseren?,"Het bepalen van de regels, kiezen van de locatie en apparatuur, opstellen van een FIFA toernooi schema en promoten van het FIFA toernooi zijn belangrijke stappen. WePlayUnited neemt al deze stappen uit handen bij het FIFA toernooi organiseren.",Waar kunnen FIFA-toernooien plaatsvinden?,"FIFA toernooien kunnen op iedere locatie plaatsvinden in Nederland, België en Duitsland. Of het nu een clubhuis, gymzaal of evenementenlocatie is - WePlayUnited past het FIFA toernooi aan de locatie aan.",Wie organiseren FIFA toernooien?,"FIFA toernooien worden georganiseerd door voetbalclubs, sportclubs en andere organisaties. WePlayUnited specialiseert zich in het professioneel FIFA toernooi organiseren voor voetbalverenigingen en bedrijven.",Fortnite Toernooi,F1 Simulator,Just Dance,1
2,GAMING,PS5 Huren,ps5-huren,,,🎮,,,,,,,,,,,,,65,92,87,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
3,GAMING,Fortnite,fortnite-toernooi,,,⛏️,,,,,,,,,,,,,58,94,45,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
4,GAMING,Nintendo Switch,nintendo-switch-huren,,,🍄,,,,,,,,,,,,,82,90,86,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
5,GAMING,Retro Games,retro-games-huren,,,👾,,,,,,,,,,,,,75,80,93,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
6,SIMULATIE,Formule 1,formule-1-simulator-huren,F1 Simulator Huren | Formule 1 Race Simulator Uitje | WePlay United,"Huur een professionele F1 simulator voor jouw bedrijfsfeest, beurs of schoolevent. ? Complete verzorging ? Heel Nederland ? Vanaf €799. Vraag direct offerte aan!",🏎️,Formule 1 simulator huren,f1-simulator-hero-video.mp4,Ervaar de ultieme race-sensatie op elke locatie,"Ben jij op zoek naar een leuke activiteit? Een Formule 1 simulator huren is dé manier om spanning en entertainment te combineren. Vooral voor een bedrijfsfeest of schoolactiviteit is formule 1 simulatoren huren een goed idee. En omdat wij onze events organiseren op iedere locatie, kun je overal een f1 race simulator huren. Wij ontzorgen jou volledig, verbinden middels gaming en organiseren onze events op elke locatie in Nederland, België en Duitsland.",Formule 1 simulator huren,"Een Formule 1 simulator huren biedt de perfecte combinatie van spanning, technologie en competitie voor elk evenement. Of je nu een bedrijfsfeest organiseert, een beursactivatie plant of een schoolactiviteit zoekt die educatie en entertainment combineert, onze professionele F1 race simulatoren leveren een onvergetelijke ervaring. Met complete verzorging van opbouw tot begeleiding, maken wij jouw race simulator uitje tot een groot succes op elke gewenste locatie in Nederland.",https://drive.google.com/file/d/1qOnYop2VsH1JC5G7pQamRu60_YLeTeQO/view?usp=sharing,Professionele F1 simulator setup met racers in actie tijdens bedrijfsevent,Wat is een F1 race simulator?,"Een F1 race simulator, ook wel bekend als race sim, is een professionele gamestoel waardoor je echt het gevoel hebt dat je in een Formule 1 auto rijdt. Dit komt door de realistische houding, de pedalen en het authentieke F1 stuur. Of je nou een ervaren coureur bent of dit voor het eerst probeert, onze hoogwaardige apparatuur garandeert een speciale race-ervaring. Wij verzorgen alles wat je nodig hebt, van professionele opbouw tot aan deskundige spelbegeleiding en volledige technische ondersteuning. Een F1 race simulator huren was nog nooit zo eenvoudig!",https://drive.google.com/file/d/1d6mny58EfC15ikuFTmBAw9uTua5esd_l/view?usp=sharing,Close-up van professionele F1 race simulator met PlaySeat en 4K scherm,92,89,95,87,F1 simulator huren bij WePlay United,"Een groot voordeel van een f1 simulator huren is dat je dit op elke gewenste locatie kan doen. Dus heb je een eigen bedrijfspand of gymzaal waar je dit wil organiseren? Geen probleem, onze eventmanagers rijden met plezier jouw kant op en verzorgen de gehele op- en afbouw. Bij een race sim huren horen natuurlijk ook verschillende formats: kies je voor het rijden van de snelste ronde of wil je graag een kwalificatie met daarbij een echte Grand Prix? Of je nou op zoekt bent naar een activatie voor je beursstand of een leuke activiteit zoekt voor je bedrijfsfeest, met een Formule 1 simulator huren zit je altijd goed. Onze professionele PlaySeats, ultra HD 4K schermen van 40 inch en deskundige begeleiding zorgen voor een authentieke race-ervaring die je nergens anders vindt.",f1-simulator-setup-locatie.jpg,Pakketten en prijzen voor formule 1 simulator,"Wanneer je een Formule 1 simulator huurt bij WePlay United, kies je uit diverse pakketten die variëren op basis van spelformats. Elk pakket bevat professionele F1 simulatoren, volledige op- en afbouw, deskundige begeleiding en technische ondersteuning. Vrije training (€799) biedt 2 PlaySeat F1 simulatoren voor 10-100 racers gedurende 3 uur vrijspelen. Het Tijdrit pakket (€999) bevat 4 simulatoren voor 20-200 deelnemers, waarbij we de snelste rondetijden bijhouden op een groot scherm. Ons meest complete Grand Prix pakket (€1499) omvat 6 F1 race simulatoren voor 24-96 racers met volledige raceleiding, kwalificatie en echte Grand Prix races in LAN-modus. Alle pakketten worden geleverd met ultra HD 4K schermen van 40 inch voor de meest realistische race-ervaring.",f1-simulator-pakketten.jpg,F1 simulator huren in jouw regio,"Waar je ook bent in Nederland, WePlay United maakt het mogelijk om een F1 simulator te huren. Van Amsterdam, Rotterdam en Utrecht tot kleinere steden en dorpen, onze race simulatoren kunnen overal worden opgebouwd. Op basis van jouw wensen geven wij een passend advies bij de verschillende formats, zodat iedereen kan genieten van een spectaculaire Formule 1-ervaring. Onze ervaren eventmanagers zorgen voor een naadloze opbouw en professionele begeleiding, ongeacht de locatie. Kies je voor gemak en flexibiliteit, dan kies je voor een Formule 1 simulator huren bij WePlay United. We organiseren succesvolle race simulator uitjes in heel Nederland, België en Duitsland.",f1-simulator-nederland-kaart.jpg,Voor welke gelegenheden is een F1 simulator geschikt,"Je kunt een f1 simulator huren voor verschillende soorten events. Beursactivatie: gebruik de race sims - compleet in jouw corporate branding - om op te vallen op de beurs en op een laagdrempelige manier in contact te komen met jouw ideale doelgroep. Voor Cikam, een autoriteit in de markt van geldverweking, realiseerden we meer dan 70 kwalitatieve leads op de Horecava. Bedrijfsfeesten: met een race simulator uitje wakker je een stukje competitiviteit en fanatisme aan bij jouw collega's. Bij het bedrijfsfeest van Intercept moesten we iemand tijdens het afbouwen van de laatste formule 1 simulator sturen. Scholen: een f1 race simulator huren tijdens een activiteitenweek is een leuk idee om educatie en plezier te combineren. De leerlingen van het Melanchthon college hebben het er nog steeds over! De F1 simulatoren zijn perfect voor teambuilding, recruitment events en elk evenement waar je spanning en technologie wilt combineren.",f1-simulator-gelegenheden.jpg,F1 simulator met eigen huisstijl en branding,"Wil je een f1 sim huren in de branding van jouw bedrijf? Geen probleem, wij hebben veel ervaring met het inzetten van een formule 1 activatie als marketingmiddel. Voor Bataviastad transformeerden wij een leeg winkelruimte tot een flitsende race arena volledig in de branding van de outlet. Het doel was simpel: zet de snelste rondtijd neer en win toffe prijzen. Om de belevenis compleet te maken konden liefhebbers een tastbaar aandenken mee naar huis nemen door in de photobooth een persoonlijke Formule 1 race kaart te maken. Onze F1 race simulatoren kunnen volledig worden aangepast met jouw logo's, kleuren en branding elements, waardoor ze perfect passen bij jouw corporate identity en marketingdoelstellingen.",f1-simulator-branding.jpg,Wat is een race simulator?,Een race simulator biedt de mogelijkheid om virtueel te racen en een realistische race-ervaring te beleven waarbij je het gevoel hebt dat je echt in een raceauto zit. Onze F1 simulatoren gebruiken professionele PlaySeats en ultra HD 4K schermen voor maximaal realisme.,Wat zijn de voordelen van het gebruik van sim racing?,"Het gebruik van een race sim biedt voordelen zoals het verbeteren van race-vaardigheden, de mogelijkheid om te oefenen en te trainen voor specifieke circuits en races en een realistische race-ervaring waarbij je volledig opgaat in het spel. Perfect voor teambuilding en entertainment.",Wat is een Formule 1 simulator?,"De Formule 1 simulator, ook wel formule 1 playseat genoemd, is een van de meest populaire race-simulatoren waarbij je de intense spanning van de Formule 1 kunt beleven. Complete met realistische pedalen, stuur en professionele racestoelen.",Welke voordelen biedt het huren van een playseat formule 1?,Het huren van een race simulator biedt de mogelijkheid om de intense race-ervaring te beleven zonder te hoeven investeren. Het huren van een simulator f1 is erg leuk tijdens een bedrijfsevent of vrijdagmiddagborrel en zorgt voor onvergetelijke momenten.,Hoe kan een formule 1 stoel worden gebruikt voor een personeelsuitje?,Een formule 1 stoel kan worden gebruikt voor een leuk en uitdagend personeelsuitje waarbij het race-talent van je collega's kan worden getest en de sfeer van een echte race-ervaring kan worden gecreëerd. Racen op F1 simulatoren is geschikt als hoofdactiviteit maar ook als side event in combinatie met lasergamen en Virtual Reality experiences.,FIFA Toernooi,Lasergamen,Virtual Reality,2
7,SIMULATIE,Farming Simulator,farming-simulator-huren,,,🚜,,,,,,,,,,,,,52,78,78,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
8,SIMULATIE,Flight Simulator,flight-simulator-huren,,,✈️,,,,,,,,,,,,,62,82,84,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
9,EXERGAMING,Just Dance,just-dance-huren,,,💃,,,,,,,,,,,,,96,94,87,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
10,EXERGAMING,VR,vr-bril-huren,VR Bril Huren | Virtual Reality Brillen op Locatie | WePlay United,"Huur professionele VR brillen voor jouw event, workshop of kinderfeestje. ? Meta Quest 3 ? Begeleiding ? Heel Nederland ? Vanaf €399. Vraag direct offerte aan!",🥽,VR bril huren,vr-bril-hero-video.mp4,Ervaar de fascinerende wereld van Virtual Reality,"Ben jij op zoek naar een innovatieve activiteit die niemand snel vergeet? Met VR bril huren ervaar je de nieuwste technologie. Vooral voor bedrijfsevents, workshops of schoolactiviteiten is vr huren enorm populair. En omdat wij onze events op iedere locatie organiseren, kun je overal een virtual reality bril huren. Wij ontzorgen jou volledig, verbinden middels gaming en organiseren onze events op elke locatie in Nederland, België en Duitsland.",VR bril huren,"Virtual reality bril huren opent de deur naar onbegrensde mogelijkheden voor elk evenement. Of je nu een educatieve workshop organiseert, een teambuilding sessie plant of een uniek kinderfeestje wilt creëren, onze professionele VR brillen leveren een onvergetelijke ervaring. Met onze Meta Quest 3 headsets, professionele begeleiding en volledige verzorging van opbouw tot ondersteuning, transformeren wij elke locatie tot een fascinerende virtual reality wereld waar technologie en entertainment samenkomen.",https://drive.google.com/file/d/1VOr5f-RcnqY_45hvJuvSyFmlWK7zOogY/view?usp=sharing,Groep mensen ervaart Virtual Reality met Meta Quest 3 brillen tijdens teambuilding event,Waarom een VR bril huren bij WePlay United?,"Een groot voordeel van virtual reality huren bij ons is dat we het zo makkelijk mogelijk maken. Bij een vr bril huren zijn diverse populaire games zoals Beat Saber en Among Us geïnstalleerd. Je kunt de brillen gemakkelijk instellen met onze handleiding, zodat je snel kunt beginnen met spelen. Onze eventmanagers bouwen op- en af en denken graag met je mee over de beste VR-ervaring voor jouw event. We leveren hoogwaardige Meta Quest 3 brillen met professionele ondersteuning en zorgen voor een naadloze virtual reality ervaring op elke gewenste locatie.",https://drive.google.com/file/d/1dIPBCUu5DyyK7AGDhmW7M_n75A7mye2D/view?usp=sharing,Professionele VR bril setup met Meta Quest 3 en begeleiding van WePlay United eventmanager,88,94,91,85,Pakketten en prijzen voor VR bril huren,"Bij VR set huren bieden we verschillende pakketten aan, afhankelijk van de groepsgrootte en specifieke wensen. Elk vr huren pakket omvat de huur van materiaal, op- en afbouw door een eventmanager en een standaard PR-kit om het VR event te promoten. VR bril huren: 2 uur speeltijd, geschikt voor 5 tot 40 deelnemers, met 5x vr bril (Meta Quest 3), verschillende VR games en uitlegkaarten voor €399 excl. BTW. VR bril huren met begeleiding: 2 uur speeltijd, geschikt voor 6 tot 24 deelnemers, met 5x vr bril (Meta Quest 3), verschillende VR games en inclusief spelbegeleiding door onze eventmanager voor €799 excl. BTW. VR Workshop: volledig verzorgde workshop van 4 uur voor tussen de 6 en 12 personen voor €899 excl. BTW. Kies voor het thema werkgeluk, ondernemende mindset of creativiteit waarbij de inhoudelijke workshop gecombineerd wordt met Virtual Reality spellen gericht op samenwerking.",vr-bril-pakketten.jpg,Voor welke gelegenheden kun je een VR bril huren,VR op locatie is geschikt voor talloze gelegenheden. Zakelijke events: maak indruk met productdemonstraties op beurzen en creëer onvergetelijke ervaringen die bezoekers nog lang zullen herinneren. Educatieve activiteiten: breng lesstof tot leven met interactieve VR-ervaringen die leren en entertainment perfect combineren. Teambuilding: versterk de teamspirit met virtual reality huren door gezamenlijke VR activiteiten die samenwerking en communicatie stimuleren. Workshops: combineer inhoudelijke workshops met uitdagende VR games die gericht zijn op samenwerking en teamontwikkeling. VR brillen huren transformeert elke gelegenheid tot een innovatieve ervaring waarbij technologie en entertainment samensmelten tot iets bijzonders.,vr-bril-gelegenheden.jpg,VR bril huren voor evenementen,"VR huren op locatie maakt elk evenement bijzonder en onvergetelijk. Of het nu gaat om een beurs, congres of open dag – met VR op locatie creëer je een blijvende indruk die deelnemers nog lang zullen herinneren. We leveren niet alleen de hoogwaardige Meta Quest 3 apparatuur, maar denken ook actief mee over de beste opstelling en professionele begeleiding voor jouw specifieke event. Onze ervaren eventmanagers zorgen ervoor dat de VR brillen optimaal worden ingezet, van de eerste demonstratie tot de laatste gebruiker. VR brillen huren voor evenementen betekent investeren in een unieke beleving die jouw event onderscheidt van alle andere.",vr-bril-evenementen.jpg,VR bril huren voor workshops en trainingen,"Voor een diepere en meer betekenisvolle ervaring bieden we VR op locatie met workshop aan. Naast het gebruik van professionele VR brillen en de aanwezigheid van een ervaren eventmanager, bevat dit pakket een professionele workshop gericht op teambuilding en samenwerking. VR op locatie met workshop is speciaal ontworpen om teamleden te laten samenwerken in uitdagende VR games zoals The Experiment en Keep Talking and Nobody Explodes. Het is perfect voor bedrijven die op zoek zijn naar een innovatieve manier om de samenwerking binnen hun team te versterken, communicatie te verbeteren en gezamenlijke doelen te bereiken door middel van virtual reality ervaringen.",vr-bril-workshops.jpg,VR bril huren voor kinderfeestjes,"Een VR bril huren voor een kinderfeestje? Dat wordt gegarandeerd een hit die alle kinderen zullen onthouden! Kinderen kunnen veilig experimenteren met spannende VR-games, creatieve toepassingen zoals 3D-tekenen of samen virtuele blokken kapot slaan in een volledig veilige omgeving. Met VR brillen huren voor een kinderfeestje letten we speciaal op de gebruiksvriendelijkheid en we zorgen voor leeftijdsgeschikte content die zowel leerzaam als vermakelijk is. Onze Meta Quest 3 brillen zijn perfect aangepast voor kinderen en onze begeleiders zorgen ervoor dat elk kind een magische virtual reality ervaring beleeft die het feestje tot een onvergetelijk evenement maakt.",vr-bril-kinderfeestjes.jpg,Wat is virtual reality huren?,"Virtual reality is een gesimuleerde ervaring die kan lijken op de echte wereld of een geheel andere wereld kan creëren. Het is een technologie die je in een volledig andere omgeving plaatst door middel van een VR-bril. Je kunt rondlopen, objecten oppakken en interactie hebben met de virtuele omgeving alsof het echt is. Dit maakt VR huren de perfecte tool voor unieke en boeiende teambuilding activiteiten.",Wat is VR Experience?,VR Experience is de toekomst van entertainment en biedt een geheel nieuwe dimensie aan gaming. Het dompelt gebruikers onder in een virtuele wereld waar ze spannende avonturen kunnen beleven en unieke ervaringen kunnen opdoen met onze professionele Meta Quest 3 brillen.,Wat is een VR Room?,"Een VR Room biedt gebruikers de mogelijkheid om verschillende VR-ervaringen te beleven, zoals racen, schieten en vliegen. Omdat wij onze events op elke locatie organiseren, kunnen we van jouw kantoor, gymzaal of magazijn ook een VR Room maken met onze professionele VR brillen!",Waarom zou je een VR-bril huren?,Door een het huren van vr brillen kunnen gebruikers de wereld van VR-gaming ontdekken zonder hoge investeringen. Vr brillen huren is doorgaans goedkoper dan de brillen zelf aanschaffen en biedt toegang tot de nieuwste Meta Quest 3 technologie met professionele ondersteuning.,Is virtual reality huren interessant voor bedrijven?,"Zeker, het huren van vr brillen is een ideaal side event bij een groot bedrijfsevent. Dit kun je combineren met bijvoorbeeld lasergamen op kantoor en het racen van een Grand Prix op Formule 1 simulatoren. VR brillen huren creëert een innovatieve en memorabele ervaring voor alle deelnemers.",F1 simulator,Lasergamen,FIFA Toernooi,4
